+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 1 | 15 |       NEW |     READY |
|                50 | 10 |   RUNNING |   WAITING |
|                50 | 15 |     READY |   RUNNING |
|               100 | 10 |   WAITING |     READY |
|               150 | 15 |   RUNNING |     READY |
|               150 | 10 |     READY |   RUNNING |
|               200 | 10 |   RUNNING |   WAITING |
|               200 | 15 |     READY |   RUNNING |
|               250 | 10 |   WAITING |     READY |
|               300 | 15 |   RUNNING |TERMINATED |
|               300 | 10 |     READY |   RUNNING |
|               350 | 10 |   RUNNING |   WAITING |
|               400 | 10 |   WAITING |     READY |
|               400 | 10 |     READY |   RUNNING |
|               450 | 10 |   RUNNING |TERMINATED |
+------------------------------------------------+
